date,region,AQI,PM2.5,NO2,SO2,CO,O3,temperature,humidity
01-01-2020,East,109.9342831,31.38288663,47.65402156,25.87407029,0.956973035,32.57468152,37.55566274,20.54279947
02-01-2020,Central,97.23471398,47.09422484,50.73412702,10.60509528,0.990203229,23.74913844,24.90034219,27.30878503
03-01-2020,East,112.9537708,53.795917,44.98689912,18.36102472,1.019288464,35.53085105,23.43716471,80.05597722
04-01-2020,West,130.4605971,88.31531486,20.57502309,19.79169988,1.284058438,25.27710647,22.38820037,25.92998815
05-01-2020,South,95.31693251,68.34829687,38.44577567,20.07954329,0.775834807,35.9964403,26.88183519,34.94634266
06-01-2020,South,95.31726086,39.96777646,28.44292425,20.90248028,0.746095903,27.8071082,26.93291295,36.13826762
07-01-2020,West,131.5842563,67.29054434,37.97394227,23.0521991,1.370985923,16.23162299,29.75313937,62.01643388
08-01-2020,West,115.3486946,36.79044017,49.80004236,19.8229628,0.861206577,22.14067008,20.36968918,60.36429585
09-01-2020,North,90.61051228,76.24036581,43.05150836,18.15970859,0.621089394,26.55668233,23.43752561,40.25922664
10-01-2020,East,110.8512009,52.93313022,51.48090866,17.96205328,0.854461017,40.94551219,35.15272862,34.53279559
11-01-2020,South,90.73164614,58.59545717,43.41753921,16.94242099,0.900984179,37.20914904,26.12295317,73.51724209
12-01-2020,South,90.68540493,79.88694971,27.0167406,23.93771662,1.466488818,42.9908913,24.13737813,85.48193089
13-01-2020,East,104.8392454,40.69254647,14.79152993,16.7673576,1.277447864,43.22908173,20.29191117,23.69639759
14-01-2020,North,61.73439511,39.04322722,41.48808762,24.23385555,1.344256185,25.72199356,27.52967153,29.32263239
15-01-2020,Central,65.50164335,51.2460101,37.86073534,20.09499541,1.245992093,28.49210512,30.15509109,64.95147921
16-01-2020,Central,88.75424942,75.57568277,30.23054261,17.39372597,1.283873101,26.70976061,29.37293823,76.31090162
17-01-2020,Central,79.74337759,37.20980887,22.9937275,23.09203608,0.793575362,24.62791516,23.70599568,75.38320681
18-01-2020,South,106.2849467,17.51766603,32.65256787,16.36273038,0.940419353,15.26804233,26.80626142,70.37782072
19-01-2020,North,81.83951849,53.23261712,38.05508515,23.1909202,0.703025406,29.88201826,33.35829718,82.11995681
20-01-2020,West,71.75392597,68.276112,46.65877824,21.06363061,0.936853591,19.71547525,30.35441146,35.21442157
21-01-2020,South,129.3129754,78.00392625,41.88631082,17.01837655,1.205231497,29.72662495,21.07918629,27.51036625
22-01-2020,West,95.48447399,53.05257957,56.08067247,22.64317408,1.040374985,46.92616648,12.26997468,63.07540791
23-01-2020,West,101.3505641,53.82860089,29.64395944,22.73294863,1.393444246,25.92523923,26.48386254,77.55931241
24-01-2020,West,71.50503628,77.30851101,48.81058892,25.78759803,0.657575262,31.55819205,28.99284063,60.74305049
25-01-2020,Central,89.11234551,31.9538745,40.47298743,24.83073506,1.150071505,37.25318709,19.55387754,87.40982412
26-01-2020,North,102.2184518,54.17218837,46.94669124,22.4563701,0.625509159,32.24233034,24.95605239,75.6895123
27-01-2020,East,76.98012845,62.85635835,35.63485137,14.36204524,1.028252941,32.3398735,23.68150467,69.05542606
28-01-2020,South,107.5139604,66.73828082,50.71680374,32.24293494,1.222100027,27.10078053,25.52143161,24.21801036
29-01-2020,Central,87.9872262,52.3528996,42.95224758,12.98191894,0.93564923,28.1449762,22.27651856,27.54195671
30-01-2020,South,94.166125,60.51661518,33.20555015,24.74631587,1.165337981,22.31991582,31.45255499,74.93863428
31-01-2020,South,87.96586776,22.6750897,39.87975971,22.15641908,0.7120803,36.76836007,25.7398444,33.87665479
01-02-2020,Central,137.0455637,50.12627381,37.60444141,14.12928814,0.500893007,16.06806675,20.60491557,22.01846233
02-02-2020,South,99.73005551,66.80263069,44.89178351,19.37849531,1.167108887,37.76870671,29.58731077,83.753248
03-02-2020,East,78.84578142,45.26558949,28.20223251,19.60623557,1.52320307,18.77041292,18.67906202,82.35637616
04-02-2020,South,116.4508982,60.88476332,39.70648298,26.52791358,0.701186518,37.70085819,31.42247189,35.29386791
05-02-2020,East,75.583127,66.70308751,43.95307253,16.4334455,1.366658254,27.16945979,29.95529712,74.61443807
06-02-2020,West,104.1772719,54.86176199,40.33023307,18.69027497,1.013027023,20.14505049,31.94887648,23.35857628
07-02-2020,South,60.80659752,62.55695656,53.46941244,8.319651975,0.599292543,34.63438916,24.20876814,39.95406027
08-02-2020,South,73.43627902,45.55901152,47.74022774,28.67381397,0.66054841,37.43014028,22.5194301,63.65668358
